bairros,disparos,presenca_policial,mortos,feridos
Vila Margarida,4,2,2,0
Vila Norma (São João de Meriti),4,0,0,0
Vila Santa Cruz,4,1,3,0
Vila São João (São João de Meriti),4,1,2,0
Vila Sapê,4,1,0,0
Wona,4,2,0,0
Aliança,3,1,2,0
Belford Roxo,3,0,1,3
Boa Sorte,3,0,0,1
Boa Viagem,3,0,0,0
Cacuia,3,0,3,0
Carlos Sampaio,3,1,2,1
Centro (Mesquita),3,0,0,0
Coréia,3,1,0,0
Cubango,3,0,0,0
Engenheiro Leal,3,0,0,0
Galo Branco,3,2,0,0
Higienópolis,3,1,0,2
Itaipuaçu,3,0,7,0
Itatiaia,3,0,2,0
Jardim Alvorada,3,2,1,1
Jardim Ideal,3,0,0,0
Jardim Paraíso,3,0,0,0
Jurujuba,3,2,1,5
Km 32,3,1,1,4
Leblon,3,1,0,3
Magalhães Bastos,3,0,2,0
Maracanã,3,0,0,1
Moquetá,3,0,1,0
Palhada,3,2,1,1
Parque Fluminense,3,0,3,0
Parque Santo Antônio,3,1,0,3
Ponta D'Areia,3,0,0,0
Portão do Rosa,3,1,0,0
Porto da Pedra,3,0,1,1
Queimados,3,0,2,0
Riachuelo,3,0,0,0
Sabugo,3,2,1,0
Santana (Itaguaí),3,0,0,1
São Conrado,3,0,0,0
São Leopoldo,3,1,3,0
São Roque,3,1,1,0
Sapê,3,0,0,0
Sossego,3,0,5,1
Tauá,3,1,0,0
Ufrrj,3,0,1,2
Urca,3,1,7,3
Venda da Cruz,3,2,1,2
Viga,3,0,0,0
Vila das Mangueiras,3,3,2,0
Vila do Tinguá,3,0,2,2
Vila Gabriela,3,1,1,0
Vila Ideal,3,1,0,3
Vila Leopoldina,3,1,1,0
Vila Operária,3,0,0,0
Vila Rica,3,0,0,0
Vila São Luís (Nova Iguaçu),3,0,1,0
Vila Três,3,0,0,0
Vilar Formoso,3,1,0,0
Vista Alegre (Rio de Janeiro),3,0,1,0
Abolição,2,0,0,0
Alecrim,2,0,0,0
Ambaí,2,1,0,1
Antonina,2,1,0,1
Arrastão,2,1,2,1
Baldeador,2,1,0,1
Boa Esperança (Seropédica),2,0,0,0
Caioaba,2,0,1,1
Califórnia (Itaguaí),2,0,0,0
Campo Lindo,2,0,0,0
Capivari,2,2,1,1
Carmari,2,0,2,2
Carolina (Duque de Caxias),2,0,0,0
Centro (Itaboraí),2,0,0,2
Cerâmica,2,0,1,1
Chácara Santo Antônio,2,1,1,0
Chaperó (Seropédica),2,0,0,0
Cidade Nova,2,0,0,0
Coroa Grande,2,1,1,0
Curicica,2,0,0,0
Da Luz,2,1,2,0
Engenho do Mato,2,0,0,0
Estrela do Céu,2,1,0,2
Gláucia,2,0,0,0
Guarani,2,1,0,1
Guaratiba,2,0,0,0
Itaipu (Belford Roxo),2,0,3,0
Ititioca,2,1,2,1
Japeri,2,1,0,0
Jardim Anhangá,2,0,0,0
Jardim Atlântico Oeste,2,1,0,1
Jardim Metrópole,2,0,1,0
Jardim Santo Antônio,2,0,0,0
Jardim Vinte e Cinco de Agosto,2,1,0,0
Jardins,2,0,0,0
Lagoa,2,1,2,5
Lagoinha (São Gonçalo),2,2,1,0
Luiz Caçador,2,1,0,0
Maravista,2,0,0,0
Maria Paula (Niterói),2,0,0,0
Miguel Couto (Nova Iguaçu),2,0,1,0
Monjolos,2,0,1,0
Monte Verde,2,2,0,0
Nancilandia,2,1,0,0
Nossa Senhora de Fátima (Nilópolis),2,0,0,0
Nova Cidade (São Gonçalo),2,0,3,1
Nova Piam,2,0,1,0
Novo México,2,0,1,0
Parada Morabi,2,0,0,0
Paraíso (Queimados),2,0,1,0
Parque das Missões,2,2,0,0
Parque Senhor do Bonfim,2,1,1,0
Patronato,2,0,0,0
Piratininga,2,1,0,1
Praça da Bandeira,2,0,0,0
Prados Verdes,2,0,0,0
Retiro São Joaquim,2,0,3,1
Rio Várzea,2,0,0,0
Roncador,2,0,5,0
Rosa dos Ventos,2,0,1,0
Sacramento,2,1,0,2
Santa Bárbara,2,0,1,0
São Francisco Xavier,2,1,1,0
Sepetiba,2,0,0,0
Serra Grande,2,0,0,0
Vila Actura,2,0,1,0
Vila Brasil,2,0,0,1
Vila Dagmar,2,0,3,1
Vila Morro Agudo,2,0,2,0
Vilar Novo,2,0,0,0
Zé Garoto,2,0,2,0
Aldeia da Prata,1,0,1,0
Alto da Boa Vista,1,1,1,0
Anaia Grande,1,0,0,0
Andrade Araújo (Nova Iguaçu),1,0,0,1
Atalaia,1,0,0,0
Austin (Queimados),1,0,0,0
Barracão,1,0,0,0
Beira-Rio,1,1,0,0
Belmonte,1,0,0,0
BNH (Belford Roxo),1,0,0,0
BNH (Magé),1,0,1,0
Boa Esperança (Belford Roxo),1,0,0,0
Boa Ventura,1,0,0,0
Boa Vista (Cachoeiras de Macacu),1,0,0,0
Bom Retiro (Duque de Caxias),1,1,0,0
Boqueirão,1,1,0,1
Califórnia (Nova Iguaçu),1,0,1,0
Calundu,1,1,1,1
Camboinhas,1,0,0,1
Canal,1,0,0,0
Cangulo,1,0,0,0
Carmary,1,0,1,0
Carolina (Nova Iguaçu),1,0,2,0
Centro (Maricá),1,1,0,1
Centro (Rio Bonito),1,0,0,0
Centro (Seropédica),1,0,3,0
